version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Mon Apr 24 09:29:53 2017	2	1	30::12	2263.71		1	0	1	0	0	0	0	0	baseline	0	1	4824	8407	
22261	Mon Apr 24 09:30:08 2017	2	2	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-7	2	4342	5485	
22261	Mon Apr 24 09:30:20 2017	2	3	25::13	2263.71		1	0	1	0	0	0	0	0	baseline	-7	1	5833	7576	
22261	Mon Apr 24 09:30:33 2017	2	4	24::12	2263.71		1	0	1	0	0	0	0	0	baseline	-24	1	4173	5572	
22261	Mon Apr 24 09:30:45 2017	2	5	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-32	2	2689	3792	
22261	Mon Apr 24 09:30:57 2017	2	6	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-39	2	3275	4610	
22261	Mon Apr 24 09:31:09 2017	2	7	24::12	2263.71		1	0	1	0	0	0	0	0	baseline	-17	1	3460	4875	
22261	Mon Apr 24 09:31:21 2017	2	8	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-33	2	3201	4152	
22261	Mon Apr 24 09:31:36 2017	2	9	24::12	2263.71		1	0	1	0	0	0	0	0	baseline	-40	1	2930	5393	
22261	Mon Apr 24 09:31:51 2017	2	10	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-33	2	3905	5975	
22261	Mon Apr 24 09:32:32 2017	4	1	18::12	2263.71		0	1	0	1	0	1	0	0	acq	-33	2	6481	8192	
22261	Mon Apr 24 09:32:47 2017	4	2	24::12	2263.71		0	1	0	1	0	1	0	0	acq	-15	2	3162	4761	
22261	Mon Apr 24 09:33:01 2017	4	3	24::12	2263.71		1	0	1	0	0	0	0	1	acq	-2	1	5141	9500	
22261	Mon Apr 24 09:33:13 2017	4	4	24::12	2263.71		0	1	0	1	0	1	0	0	acq	-16	2	3350	4421	
22261	Mon Apr 24 09:33:28 2017	4	5	24::12	2263.71		1	0	1	0	0	0	0	1	acq	0	2	6209	8432	
22261	Mon Apr 24 09:33:41 2017	4	6	24::12	2263.71		1	0	1	0	0	0	0	1	acq	3	1	3785	5200	
22261	Mon Apr 24 09:33:53 2017	4	7	24::12	2263.71		0	1	0	1	0	1	0	0	acq	-6	2	4351	6334	
22261	Mon Apr 24 09:34:08 2017	4	8	24::12	2263.71		1	0	1	0	0	0	0	1	acq	2	1	3452	6155	
22261	Mon Apr 24 09:35:24 2017	7	1	18::12	2263.71		1	0	1	0	0	0	0	1	acq	-1	1	4689	7232	
22261	Mon Apr 24 09:35:37 2017	7	2	24::12	2263.71		0	1	0	1	0	1	0	0	acq	2	1	3675	5090	
22261	Mon Apr 24 09:35:50 2017	7	3	24::12	2263.71		0	1	0	1	0	1	0	0	acq	-12	2	5092	6475	
22261	Mon Apr 24 09:36:04 2017	7	4	24::12	2263.71		1	0	1	0	0	0	0	1	acq	3	1	3185	4752	
22261	Mon Apr 24 09:36:16 2017	7	5	24::12	2263.71		0	1	0	1	0	1	0	0	acq	-6	2	3542	5949	
22261	Mon Apr 24 09:36:31 2017	7	6	24::12	2263.71		1	0	1	0	0	0	0	1	acq	2	1	4507	6418	
22261	Mon Apr 24 09:36:44 2017	7	7	24::12	2263.71		1	0	1	0	0	0	0	1	acq	2	1	3844	6523	
