version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Tue May 16 16:41:51 2017	2	1	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-34	2	5697	9704	
22261	Tue May 16 16:42:05 2017	2	2	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-45	2	4697	5728	
22261	Tue May 16 16:42:18 2017	2	3	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-48	1	3639	4806	
22261	Tue May 16 16:42:31 2017	2	4	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-46	1	2392	3239	
22261	Tue May 16 16:42:43 2017	2	5	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-46	2	3574	4501	
22261	Tue May 16 16:42:56 2017	2	6	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-44	1	3778	4689	
22261	Tue May 16 16:43:10 2017	2	7	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-43	2	2317	3236	
22261	Tue May 16 16:43:23 2017	2	8	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-43	2	2389	3332	
22261	Tue May 16 16:43:37 2017	2	9	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-43	1	2212	3635	
22261	Tue May 16 16:43:50 2017	2	10	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-43	1	3036	3955	
22261	Tue May 16 16:44:18 2017	4	1	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-43	1	6057	8304	
22261	Tue May 16 16:44:32 2017	4	2	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-41	1	2889	3760	
22261	Tue May 16 16:44:46 2017	4	3	24::12	2263.71		1	0	0	1	0	0	0	1	acq	-35	2	4201	5440	
22261	Tue May 16 16:44:58 2017	4	4	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-42	1	2310	3165	
22261	Tue May 16 16:45:13 2017	4	5	24::12	2263.71		1	0	0	1	0	0	0	1	acq	-36	2	2064	2935	
22261	Tue May 16 16:45:26 2017	4	6	24::12	2263.71		1	0	0	1	0	0	0	1	acq	-37	2	2856	3631	
22261	Tue May 16 16:45:40 2017	4	7	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-45	1	2151	3038	
22261	Tue May 16 16:45:54 2017	4	8	24::12	2263.71		1	0	0	1	0	0	0	1	acq	-38	2	4619	5682	
22261	Tue May 16 16:48:24 2017	7	1	18::12	2263.71		1	0	0	1	0	0	0	1	acq	10	2	8824	10871	
22261	Tue May 16 16:48:39 2017	7	2	24::12	2263.71		0	1	1	0	0	1	0	0	acq	2	1	6333	7516	
22261	Tue May 16 16:48:53 2017	7	3	24::12	2263.71		0	1	1	0	0	1	0	0	acq	0	1	4413	5428	
22261	Tue May 16 16:49:06 2017	7	4	24::12	2263.71		1	0	0	1	0	0	0	1	acq	21	2	8766	10941	
22261	Tue May 16 16:49:18 2017	7	5	24::12	2263.71		1	0	0	1	0	0	0	1	acq	29	2	3880	5406	
22261	Tue May 16 16:49:32 2017	7	6	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-3	1	3671	5414	
22261	Tue May 16 16:49:47 2017	7	7	24::12	2263.71		1	0	0	1	0	0	0	1	acq	22	2	5592	6694	
22261	Tue May 16 16:49:59 2017	7	8	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-4	1	5451	6682	
22261	Tue May 16 16:51:23 2017	10	1	18::12	2263.71		1	0	0	1	0	0	0	1	acq	10	2	3217	4752	
22261	Tue May 16 16:51:38 2017	10	2	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-3	1	3942	5325	
22261	Tue May 16 16:51:53 2017	10	3	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-9	1	5143	6262	
22261	Tue May 16 16:52:07 2017	10	4	24::12	2263.71		1	0	0	1	0	0	0	1	acq	20	2	4850	6201	
22261	Tue May 16 16:52:19 2017	10	5	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-14	1	4351	5510	
22261	Tue May 16 16:52:31 2017	10	6	24::12	2263.71		1	0	0	1	0	0	0	1	acq	16	2	7467	8642	
22261	Tue May 16 16:52:45 2017	10	7	24::12	2263.71		1	0	0	1	0	0	0	1	acq	26	2	2250	4009	
22261	Tue May 16 16:52:59 2017	10	8	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-7	1	9284	10427	
22261	Tue May 16 16:54:29 2017	13	1	18::12	2263.71		0	1	1	0	0	0	1	0	test	12	2	5641	7912	
22261	Tue May 16 16:54:42 2017	13	2	24::12	2263.71		1	0	0	1	0	0	0	1	test	21	2	2235	3306	
22261	Tue May 16 16:54:56 2017	13	3	24::12	2263.71		0	1	1	0	0	0	0	0	test	-46	1	3332	4571	
22261	Tue May 16 16:55:09 2017	13	4	24::12	2263.71		1	0	0	1	0	0	1	0	test	17	2	4068	4939	
22261	Tue May 16 16:55:22 2017	13	5	24::12	2263.71		1	0	0	1	0	0	0	1	test	24	2	2692	3691	
22261	Tue May 16 16:55:36 2017	13	6	12::12	2263.71		0	1	1	0	0	1	0	0	test	
22261	Tue May 16 16:55:51 2017	13	7	17::6	2263.71		0	1	1	0	0	0	1	0	test	12	2	3044	4731	
22261	Tue May 16 16:56:05 2017	13	8	24::12	2263.71		1	0	0	1	0	0	1	0	test	2	2	5014	6765	
22261	Tue May 16 16:56:18 2017	13	9	24::12	2263.71		1	0	0	1	0	0	0	1	test	18	2	3537	4504	
22261	Tue May 16 16:56:31 2017	13	10	24::12	2263.71		0	1	1	0	0	0	0	0	test	-47	1	4644	5562	
22261	Tue May 16 16:56:45 2017	13	11	24::12	2263.71		0	1	1	0	0	1	0	0	test	-31	1	4789	6684	
22261	Tue May 16 16:56:58 2017	13	12	24::12	2263.71		1	0	0	1	0	0	0	1	test	18	2	2365	3428	
22261	Tue May 16 16:57:12 2017	13	13	24::12	2263.71		0	1	1	0	0	0	1	0	test	14	2	3935	4934	
22261	Tue May 16 16:57:27 2017	13	14	24::12	2263.71		0	1	1	0	0	0	0	0	test	-48	1	2919	3886	
22261	Tue May 16 16:57:41 2017	13	15	24::12	2263.71		1	0	0	1	0	0	0	1	test	23	2	2800	5183	
22261	Tue May 16 16:57:53 2017	13	16	24::12	2263.71		1	0	0	1	0	0	0	1	test	28	2	4160	5343	
22261	Tue May 16 16:58:06 2017	13	17	24::12	2263.71		0	1	1	0	0	1	0	0	test	-18	1	3729	4808	
22261	Tue May 16 16:58:18 2017	13	18	24::12	2263.71		0	1	1	0	0	1	0	0	test	-19	1	10810	12129	
22261	Tue May 16 16:58:31 2017	13	19	24::12	2263.71		1	0	0	1	0	0	0	1	test	24	2	3588	4555	
22261	Tue May 16 16:58:46 2017	13	20	24::12	2263.71		1	0	0	1	0	0	1	0	test	16	2	4117	5084	
22261	Tue May 16 16:58:59 2017	13	21	24::12	2263.71		0	1	1	0	0	1	0	0	test	-40	1	6158	7133	
22261	Tue May 16 16:59:13 2017	13	22	24::12	2263.71		0	1	1	0	0	1	0	0	test	-32	1	3304	4431	
22261	Tue May 16 16:59:28 2017	13	23	24::12	2263.71		1	0	0	1	0	0	0	1	test	24	2	3880	4703	
22261	Tue May 16 16:59:40 2017	13	24	24::12	2263.71		1	0	0	1	0	0	1	0	test	19	2	5606	6525	
22261	Tue May 16 16:59:53 2017	13	25	24::12	2263.71		0	1	1	0	0	0	1	0	test	11	2	4623	6005	
22261	Tue May 16 17:00:06 2017	13	26	24::12	2263.71		1	0	0	1	0	0	0	0	test	-47	2	5372	6155	
22261	Tue May 16 17:00:20 2017	13	27	24::12	2263.71		1	0	0	1	0	0	0	0	test	-49	2	3119	4150	
22261	Tue May 16 17:00:35 2017	13	28	24::12	2263.71		0	1	1	0	0	1	0	0	test	-23	1	7894	8837	
22261	Tue May 16 17:00:47 2017	13	29	24::12	2263.71		1	0	0	1	0	0	1	0	test	13	2	3758	4477	
22261	Tue May 16 17:01:00 2017	13	30	24::12	2263.71		1	0	0	1	0	0	0	0	test	-48	2	3494	4517	
22261	Tue May 16 17:01:14 2017	13	31	24::12	2263.71		0	1	1	0	0	1	0	0	test	-20	1	9278	10308	
