version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Thu Oct 26 01:45:31 2017	2	1	7::4	3544.43		0	1	1	0	0	0	0	0	baseline	-48	1	2657	4912	
22261	Thu Oct 26 01:45:45 2017	2	2	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-50	1	2487	3678	
22261	Thu Oct 26 01:45:57 2017	2	3	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-49	2	3959	4958	
22261	Thu Oct 26 01:46:10 2017	2	4	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-50	2	2374	3293	
22261	Thu Oct 26 01:46:24 2017	2	5	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-49	2	2912	4167	
22261	Thu Oct 26 01:46:39 2017	2	6	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-49	2	2396	3643	
22261	Thu Oct 26 01:46:52 2017	2	7	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-49	1	2418	3697	
22261	Thu Oct 26 01:47:05 2017	2	8	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-49	2	2481	4288	
22261	Thu Oct 26 01:47:19 2017	2	9	7::4	3544.43		1	0	0	1	0	0	0	0	baseline	-49	2	2260	3187	
22261	Thu Oct 26 01:47:32 2017	2	10	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-49	1	2089	3152	
22261	Thu Oct 26 01:47:59 2017	4	1	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-48	1	4721	6792	
22261	Thu Oct 26 01:48:13 2017	4	2	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-28	2	4624	7055	
22261	Thu Oct 26 01:48:28 2017	4	3	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-47	1	2230	3541	
22261	Thu Oct 26 01:48:43 2017	4	4	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-37	1	3569	5015	
22261	Thu Oct 26 01:48:56 2017	4	5	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-15	1	4650	6241	
22261	Thu Oct 26 01:49:09 2017	4	6	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-46	1	2574	5197	
22261	Thu Oct 26 01:49:21 2017	4	7	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-14	2	3653	5412	
22261	Thu Oct 26 01:49:36 2017	4	8	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-5	1	4044	5651	
22261	Thu Oct 26 01:52:44 2017	7	1	6::3	3544.43		1	0	0	1	0	0	0	1	acq	17	1	3808	6335	
22261	Thu Oct 26 01:52:58 2017	7	2	6::3	3544.43		0	1	1	0	0	1	0	0	acq	9	1	3757	4740	
22261	Thu Oct 26 01:53:12 2017	7	3	6::3	3544.43		1	0	0	1	0	0	0	1	acq	24	2	5315	7506	
22261	Thu Oct 26 01:53:25 2017	7	4	6::3	3544.43		0	1	1	0	0	1	0	0	acq	5	1	4247	5654	
22261	Thu Oct 26 01:53:39 2017	7	5	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-3	1	4847	7246	
22261	Thu Oct 26 01:53:51 2017	7	6	6::3	3544.43		1	0	0	1	0	0	0	1	acq	21	2	4765	6476	
22261	Thu Oct 26 01:54:05 2017	7	7	6::3	3544.43		1	0	0	1	0	0	0	1	acq	24	1	4408	5831	
22261	Thu Oct 26 01:54:17 2017	7	8	9::3	3544.43		0	1	1	0	0	1	0	0	acq	3	1	3303	4534	
22261	Thu Oct 26 01:55:58 2017	10	1	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-15	1	5760	7823	
22261	Thu Oct 26 01:56:10 2017	10	2	6::3	3544.43		1	0	0	1	0	0	0	1	acq	17	2	3160	4519	
22261	Thu Oct 26 01:56:23 2017	10	3	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-13	1	3239	4118	
22261	Thu Oct 26 01:56:38 2017	10	4	6::3	3544.43		1	0	0	1	0	0	0	1	acq	17	2	4071	4966	
22261	Thu Oct 26 01:56:52 2017	10	5	6::3	3544.43		1	0	0	1	0	0	0	1	acq	25	1	4187	6362	
22261	Thu Oct 26 01:57:04 2017	10	6	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-8	1	2768	3583	
22261	Thu Oct 26 01:57:17 2017	10	7	6::3	3544.43		1	0	0	1	0	0	0	1	acq	21	1	3568	5399	
22261	Thu Oct 26 01:57:29 2017	10	8	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-15	1	3360	4655	
22261	Thu Oct 26 01:58:57 2017	13	1	6::3	3544.43		1	0	0	1	0	0	0	1	test	22	1	4384	5935	
22261	Thu Oct 26 01:59:11 2017	13	2	6::3	3544.43		1	0	0	1	0	0	0	0	test	-48	2	3834	4865	
22261	Thu Oct 26 01:59:24 2017	13	3	6::3	3544.43		0	1	1	0	0	1	0	0	test	2	1	4066	5009	
22261	Thu Oct 26 01:59:37 2017	13	4	6::3	3544.43		0	1	1	0	0	1	0	0	test	-3	1	3837	5468	
22261	Thu Oct 26 01:59:50 2017	13	5	6::3	3544.43		1	0	0	1	0	0	0	1	test	15	1	3472	4655	
22261	Thu Oct 26 02:00:03 2017	13	6	6::3	3544.43		0	1	1	0	0	0	1	0	test	2	2	3597	6548	
22261	Thu Oct 26 02:00:17 2017	13	7	6::3	3544.43		0	1	1	0	0	1	0	0	test	-20	2	2757	4892	
22261	Thu Oct 26 02:00:30 2017	13	8	6::3	3544.43		1	0	0	1	0	0	0	1	test	18	2	4484	5403	
22261	Thu Oct 26 02:00:43 2017	13	9	6::3	3544.43		1	0	0	1	0	0	1	0	test	10	2	3179	4538	
22261	Thu Oct 26 02:00:56 2017	13	10	6::3	3544.43		0	1	1	0	0	1	0	0	test	-23	1	2873	4040	
22261	Thu Oct 26 02:01:09 2017	13	11	6::3	3544.43		0	1	1	0	0	0	0	0	test	-48	1	2934	4253	
