version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Wed Nov 15 01:22:34 2017	2	1	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-47	2	3274	4745	
22261	Wed Nov 15 01:22:47 2017	2	2	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-46	2	3123	4794	
22261	Wed Nov 15 01:23:01 2017	2	3	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-47	1	2557	3476	
22261	Wed Nov 15 01:23:16 2017	2	4	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-47	2	2423	3510	
22261	Wed Nov 15 01:23:30 2017	2	5	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-38	1	2737	4448	
22261	Wed Nov 15 01:23:44 2017	2	6	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-44	1	2667	3834	
22261	Wed Nov 15 01:23:58 2017	2	7	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-47	2	2051	3026	
22261	Wed Nov 15 01:24:12 2017	2	8	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-45	1	2406	3701	
22261	Wed Nov 15 01:24:26 2017	2	9	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-47	1	2035	3058	
22261	Wed Nov 15 01:24:41 2017	2	10	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-49	2	2449	3344	
22261	Wed Nov 15 01:25:08 2017	4	1	6::3	3544.43		1	0	0	1	0	0	0	1	acq	2	2	3712	6559	
22261	Wed Nov 15 01:25:20 2017	4	2	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-2	2	2620	3683	
22261	Wed Nov 15 01:25:33 2017	4	3	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-49	1	2828	3843	
22261	Wed Nov 15 01:25:45 2017	4	4	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-46	1	2485	3476	
22261	Wed Nov 15 01:25:57 2017	4	5	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-1	2	3858	5969	
22261	Wed Nov 15 01:26:11 2017	4	6	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-49	1	2315	3290	
22261	Wed Nov 15 01:26:24 2017	4	7	6::3	3544.43		1	0	0	1	0	0	0	1	acq	2	2	3647	4782	
22261	Wed Nov 15 01:26:38 2017	4	8	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-45	1	2010	3033	
