id,Csplus_location,day,block,block_type,trial,rating,trial_type
01SH,feet,1,1,baseline,1,-40,CSplus_only
01SH,feet,1,1,baseline,2,-40,CSplus_only
01SH,feet,1,1,baseline,3,-40,CSminus_only
01SH,feet,1,1,baseline,4,-40,CSplus_only
01SH,feet,1,1,baseline,5,-40,CSminus_only
01SH,feet,1,1,baseline,6,-40,CSplus_only
01SH,feet,1,1,baseline,7,-40,CSplus_only
01SH,feet,1,1,baseline,8,-40,CSminus_only
01SH,feet,1,1,baseline,9,-40,CSminus_only
01SH,feet,1,1,baseline,10,-40,CSminus_only
01SH,feet,1,2,acquisition,11,-30,CSminus_USlow
01SH,feet,1,2,acquisition,12,-10,CSplus_UShigh
01SH,feet,1,2,acquisition,13,1,CSplus_UShigh
01SH,feet,1,2,acquisition,14,2,CSplus_UShigh
01SH,feet,1,2,acquisition,15,-25,CSminus_USlow
01SH,feet,1,2,acquisition,16,-20,CSminus_USlow
01SH,feet,1,2,acquisition,17,-10,CSplus_UShigh
01SH,feet,1,2,acquisition,18,-10,CSminus_USlow
01SH,feet,1,2,acquisition,19,-20,CSplus_UShigh
01SH,feet,1,2,acquisition,20,-40,CSminus_USlow
01SH,feet,1,2,acquisition,21,-30,CSminus_USlow
01SH,feet,1,2,acquisition,22,-10,CSplus_UShigh
01SH,feet,1,2,acquisition,23,1,CSplus_UShigh
01SH,feet,1,2,acquisition,24,-2,CSplus_UShigh
01SH,feet,1,2,acquisition,25,-25,CSminus_USlow
01SH,feet,1,2,acquisition,26,-20,CSminus_USlow
01SH,feet,1,2,acquisition,27,-40,CSminus_USlow
01SH,feet,1,2,acquisition,28,2,CSplus_UShigh
01SH,feet,1,2,acquisition,29,-20,CSminus_USlow
01SH,feet,1,2,acquisition,30,1,CSplus_UShigh
01SH,feet,1,2,acquisition,31,-1,CSminus_USlow
01SH,feet,1,2,acquisition,32,2,CSplus_UShigh
01SH,feet,1,2,acquisition,33,2,CSplus_UShigh
01SH,feet,1,2,acquisition,34,-30,CSminus_USlow
01SH,feet,1,3,test,35,-40,CSminus_only
01SH,feet,1,3,test,36,-10,CSminus_USlow
01SH,feet,1,3,test,37,-2,CSplus_UShigh
01SH,feet,1,3,test,38,1,CSminus_USlow
01SH,feet,1,3,test,39,-40,CSplus_only
01SH,feet,1,3,test,40,1,CSplus_UShigh
01SH,feet,1,3,test,41,-10,CSplus_UShigh
01SH,feet,1,3,test,42,-10,UStest_only
01SH,feet,1,3,test,43,1,CSplus_UStest
01SH,feet,1,3,test,44,-1,CSminus_USlow
01SH,feet,1,3,test,45,-40,CSplus_only
01SH,feet,1,3,test,46,3,CSplus_UStest
01SH,feet,1,3,test,47,1,CSminus_UStest
01SH,feet,1,3,test,48,2,CSplus_UShigh
01SH,feet,1,3,test,49,-40,CSminus_only
01SH,feet,1,3,test,50,1,CSminus_UStest
01SH,feet,1,3,test,51,-2,CSminus_USlow
01SH,feet,1,3,test,52,-2,CSminus_USlow
01SH,feet,1,3,test,53,1,CSplus_UStest
01SH,feet,1,3,test,54,1,CSplus_UShigh
01SH,feet,1,3,test,55,-1,CSplus_UShigh
01SH,feet,1,3,test,56,-2,CSminus_UStest
01SH,feet,1,3,test,57,1,CSplus_UStest
01SH,feet,1,3,test,58,1,CSminus_USlow
01SH,feet,1,3,test,59,1,CSminus_USlow
01SH,feet,1,3,test,60,1,UStest_only
01SH,feet,1,3,test,61,2,CSminus_UStest
01SH,feet,1,3,test,62,-10,CSplus_UShigh
01SH,feet,1,3,test,63,1,UStest_only
01SH,feet,1,3,test,64,-1,CSplus_only
01SH,feet,1,3,test,65,-40,CSminus_only
01SH,feet,1,3,test,66,2,CSminus_USlow
01SH,feet,1,3,test,67,2,CSplus_UShigh
01SH,feet,1,3,test,68,-10,CSminus_USlow
01SH,feet,1,3,test,69,2,CSplus_UShigh
01SH,feet,1,3,test,70,-20,CSminus_UStest
01SH,feet,1,3,test,71,-25,UStest_only
01SH,feet,1,3,test,72,-10,CSplus_UStest
01SH,feet,1,3,test,73,-20,CSminus_USlow
01SH,feet,1,3,test,74,-2,CSplus_UShigh
01SH,feet,1,4,test,75,-40,CSplus_only
01SH,feet,1,4,test,76,-10,UStest_only
01SH,feet,1,4,test,77,-20,CSminus_USlow
01SH,feet,1,4,test,78,-40,CSminus_only
01SH,feet,1,4,test,79,-40,CSminus_USlow
01SH,feet,1,4,test,80,-30,CSminus_USlow
01SH,feet,1,4,test,81,-40,CSplus_only
01SH,feet,1,4,test,82,1,CSplus_UShigh
01SH,feet,1,4,test,83,-40,CSminus_only
01SH,feet,1,4,test,84,-10,UStest_only
01SH,feet,1,4,test,85,-40,CSminus_USlow
01SH,feet,1,4,test,86,2,CSplus_UShigh
01SH,feet,1,4,test,87,-2,CSplus_UStest
01SH,feet,1,4,test,88,1,CSplus_UShigh
01SH,feet,1,4,test,89,-10,UStest_only
01SH,feet,1,4,test,90,-30,CSminus_USlow
01SH,feet,1,4,test,91,-10,CSminus_UStest
01SH,feet,1,4,test,92,-40,CSplus_only
01SH,feet,1,4,test,93,-2,CSplus_UStest
01SH,feet,1,4,test,94,-10,CSplus_UShigh
01SH,feet,1,4,test,95,-10,CSplus_UShigh
01SH,feet,1,4,test,96,-25,UStest_only
01SH,feet,1,4,test,97,1,CSminus_UStest
01SH,feet,1,4,test,98,-1,CSplus_UStest
01SH,feet,1,4,test,99,-2,CSminus_USlow
01SH,feet,1,4,test,100,-10,CSplus_UShigh
01SH,feet,1,4,test,101,-40,CSminus_USlow
01SH,feet,1,4,test,102,-40,CSminus_USlow
01SH,feet,1,4,test,103,1,CSplus_UStest
01SH,feet,1,4,test,104,-30,CSminus_UStest
01SH,feet,1,4,test,105,1,CSplus_UShigh
01SH,feet,1,4,test,106,-2,CSplus_UShigh
01SH,feet,1,4,test,107,-10,CSminus_USlow
01SH,feet,1,4,test,108,1,CSplus_UShigh
01SH,feet,1,4,test,109,-30,CSminus_USlow
01SH,feet,1,4,test,110,-10,CSplus_UStest
01SH,feet,1,4,test,111,-10,CSminus_UStest
01SH,feet,1,4,test,112,-10,CSplus_UShigh
01SH,feet,1,4,test,113,-40,CSminus_only
01SH,feet,1,4,test,114,-10,CSminus_UStest
01SH,feet,1,5,test,115,1,CSminus_UStest
01SH,feet,1,5,test,116,1,CSplus_UShigh
01SH,feet,1,5,test,117,-2,CSminus_UStest
01SH,feet,1,5,test,118,-10,UStest_only
01SH,feet,1,5,test,119,-30,CSminus_UStest
01SH,feet,1,5,test,120,-10,CSplus_UStest
01SH,feet,1,5,test,121,-30,CSminus_USlow
01SH,feet,1,5,test,122,-30,CSminus_only
01SH,feet,1,5,test,123,-10,UStest_only
01SH,feet,1,5,test,124,-1,CSminus_UStest
01SH,feet,1,5,test,125,-1,CSminus_USlow
01SH,feet,1,5,test,126,1,CSplus_UShigh
01SH,feet,1,5,test,127,-10,CSminus_USlow
01SH,feet,1,5,test,128,2,CSplus_UStest
01SH,feet,1,5,test,129,1,CSplus_UShigh
01SH,feet,1,5,test,130,2,CSplus_UStest
01SH,feet,1,5,test,131,-1,UStest_only
01SH,feet,1,5,test,132,2,CSplus_UShigh
01SH,feet,1,5,test,133,1,CSplus_UShigh
01SH,feet,1,5,test,134,-10,CSplus_only
01SH,feet,1,5,test,135,-2,CSminus_USlow
01SH,feet,1,5,test,136,-30,CSplus_only
01SH,feet,1,5,test,137,-10,CSminus_USlow
01SH,feet,1,5,test,138,-25,CSminus_USlow
01SH,feet,1,5,test,139,-40,CSminus_only
01SH,feet,1,5,test,140,-10,CSplus_UStest
01SH,feet,1,5,test,141,-10,CSplus_UShigh
01SH,feet,1,5,test,142,1,CSminus_USlow
01SH,feet,1,5,test,143,2,CSplus_UShigh
01SH,feet,1,5,test,144,1,CSplus_UShigh
01SH,feet,1,5,test,145,-30,CSminus_USlow
01SH,feet,1,5,test,146,-10,CSminus_UStest
01SH,feet,1,5,test,147,-1,CSminus_USlow
01SH,feet,1,5,test,148,-40,CSminus_only
01SH,feet,1,5,test,149,-1,UStest_only
01SH,feet,1,5,test,150,-40,CSplus_only
01SH,feet,1,5,test,151,-10,CSplus_UShigh
01SH,feet,1,5,test,152,1,CSplus_UStest
01SH,feet,1,5,test,153,-10,CSminus_USlow
01SH,feet,1,5,test,154,1,CSplus_UShigh
01SH,feet,2,1,acquisition,1,-10,CSminus_USlow
01SH,feet,2,1,acquisition,2,2,CSplus_UShigh
01SH,feet,2,1,acquisition,3,1,CSplus_UShigh
01SH,feet,2,1,acquisition,4,2,CSplus_UShigh
01SH,feet,2,1,acquisition,5,-10,CSminus_USlow
01SH,feet,2,1,acquisition,6,-5,CSminus_USlow
01SH,feet,2,1,acquisition,7,2,CSplus_UShigh
01SH,feet,2,1,acquisition,8,-30,CSminus_USlow
01SH,feet,2,1,acquisition,9,1,CSplus_UShigh
